,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
UFD1,37,0.9199998786857535,16,-1.4495502304228838
PSMC5,37,0.9530418928679049,10,-1.369325147363893
SEC13,37,0.9609065039737806,18,-1.4652508223988412
OSGEP,37,0.9460869211334365,18,-1.4018232957109213
TIMELESS,37,0.9046606314074884,10,-1.34596551082216
SUPT5H,37,0.9446555161261343,22,-1.5807742401129032
ALG2,37,0.9487568413889086,22,-1.5617093985911232
BRF2,37,0.9708406060665576,29,-1.6834487603856412
RANGAP1,37,0.9509998253873877,14,-1.4130331036515806
SSU72,37,0.9523080399444512,23,-1.5617659357758453
SF3B1,37,0.9251271045959749,11,-1.3749301309152209
CWC22,37,0.9049682439984502,10,-1.295312420551064
SRSF11,37,0.91713866833094,9,-1.3216406894389745
SNRNP25,37,0.963749536522874,21,-1.6373940335204005
EIF3G,37,0.9074886183480959,12,-1.3658454346600395
SYS1,37,0.9408262742532264,16,-1.5496512751991818
SNRNP27,37,0.880517970871281,10,-1.3592009771176088
DTYMK,37,0.9680858351088859,26,-1.7190606902214702
EIF3A,37,0.9518277183309333,28,-1.729122015280422
HAUS5,37,0.931474482153987,15,-1.4346271531898183
ZMAT2,37,0.9304907665596355,27,-1.6926164913227888
KARS1,37,0.9226002526712846,17,-1.483894241718671
MED28,37,0.9449940586949253,12,-1.360805608790753
PWP2,37,0.9637987549240524,19,-1.4992090051834106
COPZ1,37,0.9165887811162452,10,-1.336073700701121
SPDL1,37,0.8953079930296891,9,-1.3897584349332943
PSMC1,37,0.9350632853336163,9,-1.2401275924650959
EIF6,37,0.965341775266974,24,-1.7165579620914437
PSMD4,37,0.9451848257769334,17,-1.4032146808532988
COPS5,37,0.9489223242879987,24,-1.6559908249078057
DHX15,37,0.9316547325065545,17,-1.4772963628596463
SF3B2,37,0.9261487523714702,10,-1.3293984174581468
CNOT3,37,0.9629870390032864,17,-1.5290122240504556
SKP1,37,0.9538520687335247,15,-1.3895887949625851
GTF2E1,37,0.8380578471733643,8,-1.2825023582210366
NUP85,37,0.9199956800486591,13,-1.411381218761965
USP5,37,0.9515310584961832,11,-1.337304196371451
MED14,37,0.8870816971804645,12,-1.461330473756735
WDR55,37,0.95056686127508,8,-1.1884499024515502
GUK1,37,0.9197483358082469,18,-1.4708937075714146
NELFB,37,0.9195034404595693,8,-1.2203083030929944
